Course,Course Code,Course Name,Duration,Dept,Stage Caption
143,HDC223,BSc. Community Development and Environment,4,39,year
144,AG252,BSc. Agribusiness Management & Enterprise Development,4,65,year
145,hd241,Bachelor of Economics,4,47,2015/2016
146,EN291,BSc Mechanical Engineering,5,73,year
147,SCT312,MSc. Computer Systems,2,1,year
148,TM224,BSc.Industrial Biotechnology,4,52,year
149,SCP222,BSc. Analytical Chemistry,4,54,year
150,AG251,BSc. Agricultural Economics and Rural Development,4,72,year
151,SCT021,Certificate in Information Technology SCT021,1,1,year
152,TM215,BSc. Radiography,4,63,year
153,hd321,MSc in Mass Communication,2,59,2015/2016
154,AG237,BSc. Agribusiness Economics and Food Industrial Management,4,72,year
155,AG241,BSc. Land Resource Planning and Management,4,68,year
156,HD343,MSc. Business Information Technology,2,42,year
157,hd411,PHD Supply Chain Management,4,20,2015/2016
158,HD221,Bachelor of Mass Communication,4,59,year
159,TM101,Diploma in Clinical Medicine,3,48,year
161,HD313,Msc.Entreprenuership,2,66,Year
162,CS282,Bsc.Computer Technology,4,7,Year
163,HD412,PhD Human Resource Management,4,74,Year
164,HPS211,BSc Procurement and Contract Management,4,28,Year
165,HD339,Master of Finance and Accounting,2,42,year
166,EN293,BSc Mining and Mineral Processing Engineering,5,73,Year
167,EN392,MSc Mechatronic Engineering,2,73,Year
168,HD413,PHD Entrepreneurship,3,50,year
169,SCT322,Msc IT Integration in Education and Instructional Design,2,7,Year
170,EET31,Msc Energy Technology,2,75,Year
171,hd224,Bachelor of Development Studies,4,59,year
172,ab343,Msc Construction Project Management,2,62,year
